[2019-11-14 11:50:42.618] [restartedMain] [DEBUG] | [o.s.b.c.l.ClasspathLoggingApplicationListener:51] | Application started with classpath: [file:/E:/code/xianwall/target/classes/]
[2019-11-14 11:50:42.666] [restartedMain] [INFO] | [com.wanding.AppStarter:50] | Starting AppStarter on PC-20190812TQDC with PID 5068 (E:\code\xianwall\target\classes started by Administrator in E:\code\xianwall)
[2019-11-14 11:50:42.667] [restartedMain] [DEBUG] | [com.wanding.AppStarter:53] | Running with Spring Boot v2.1.8.RELEASE, Spring v5.1.9.RELEASE
[2019-11-14 11:50:42.667] [restartedMain] [INFO] | [com.wanding.AppStarter:652] | The following profiles are active: beta
[2019-11-14 11:50:42.667] [restartedMain] [DEBUG] | [o.s.boot.SpringApplication:676] | Loading source class com.wanding.AppStarter
[2019-11-14 11:50:42.696] [restartedMain] [DEBUG] | [o.s.b.c.c.ConfigFileApplicationListener:222] | Activated activeProfiles beta
[2019-11-14 11:50:42.696] [restartedMain] [DEBUG] | [o.s.b.c.c.ConfigFileApplicationListener:222] | Loaded config file 'file:/E:/code/xianwall/target/classes/application.properties' (classpath:/application.properties)
[2019-11-14 11:50:42.696] [restartedMain] [DEBUG] | [o.s.b.c.c.ConfigFileApplicationListener:222] | Loaded config file 'file:/E:/code/xianwall/target/classes/application-beta.properties' (classpath:/application-beta.properties) for profile beta
[2019-11-14 11:50:42.697] [restartedMain] [DEBUG] | [o.s.b.d.restart.ChangeableUrls:222] | Matching URLs for reloading : [file:/E:/code/xianwall/target/classes/]
[2019-11-14 11:50:42.697] [restartedMain] [DEBUG] | [o.s.b.d.settings.DevToolsSettings:222] | Included patterns for restart : []
[2019-11-14 11:50:42.698] [restartedMain] [DEBUG] | [o.s.b.d.settings.DevToolsSettings:222] | Excluded patterns for restart : [/spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/, /spring-boot/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter/target/classes/]
[2019-11-14 11:50:42.698] [restartedMain] [INFO] | [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225] | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2019-11-14 11:50:42.698] [restartedMain] [INFO] | [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225] | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2019-11-14 11:50:42.698] [restartedMain] [DEBUG] | [o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext:594] | Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@28d00bb3
[2019-11-14 11:50:42.736] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[2019-11-14 11:50:42.743] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
[2019-11-14 11:50:42.788] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\DataSourceConfig.class]
[2019-11-14 11:50:42.789] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\DruidConfiguration.class]
[2019-11-14 11:50:42.791] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\ImageProperties.class]
[2019-11-14 11:50:42.793] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\InitServletService.class]
[2019-11-14 11:50:42.795] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\InvalidCardConf.class]
[2019-11-14 11:50:42.796] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\RestTemplateConfig.class]
[2019-11-14 11:50:42.797] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\StaticResourceConfig.class]
